stop_id,stop_name,stop_desc,stop_lat,stop_lon
7394,"Piata Eroii Revolutiei","Strp. Viilor - Serban Voda, Bucuresti",44.406521,26.09491
7077,"Bd. Iuliu Maniu","Str. Apusului, Bucuresti",44.434694,26.011968
7308,"Complex Comercial Apusului","Str. Apusului, Bucuresti",44.438221,26.01502
7465,"Orsova","Sos. Virtutii, Bucuresti",44.440535,26.035525
7517,"Pod Ciurel","Sos. Virtutii, Bucuresti",44.446073,26.038639
6106,"Piata Virgiliu","Bd. Dinicu Golescu, Bucuresti",44.441795,26.079943
6019,"Sala Palatului","Str. Campineanu, Bucuresti",44.437766,26.094929
6277,"Stirbei Voda","Str. Luterana, Bucuresti",44.440351,26.093104
7374,"Spitalul Dr. Panait Sarbu","Calea Giulesti, Bucuresti",44.450333,26.06081
7372,"Pasaj Grant","Calea Giulesti, Bucuresti",44.453765,26.057655
7250,"Pod Ciurel","Sos. Virtutii, Bucuresti",44.446289,26.038418
7249,"Orsova","Sos. Virtutii, Bucuresti",44.439679,26.035225
7634,"Pasaj Lujerului","Bd. Uverturii, Bucuresti",44.43696,26.033341
7633,"Teatrul Masca","Bd. Uverturii, Bucuresti",44.438533,26.02996
7310,"Complex Comercial Apusului","Str. Apusului, Bucuresti",44.437771,26.014386
7076,"Bd. Iuliu Maniu","Str. Apusului, Bucuresti",44.434562,26.011637
7569,"Drumul Osiei","Drumul Osiei, Bucuresti",44.435989,25.987436
6627,"Institutul Oncologic","Sos. Fundeni, Bucuresti",44.462961,26.1555
6625,"Spitalul Fundeni","Sos. Fundeni, Bucuresti",44.463902,26.152313
6142,"Itcani","Sos. Fundeni, Bucuresti",44.465402,26.14944
6027,"F. C. Juventus","Sos. Fundeni, Bucuresti",44.467594,26.145624
5975,"Teiul Doamnei","Str. Teiul Doamnei, Bucuresti",44.458053,26.128368
6026,"Grigore Ionescu","Str. Teiul Doamnei, Bucuresti",44.460682,26.126748
7153,"Bd. Ghica Tei","Str. Teiul Doamnei, Bucuresti",44.463536,26.126151
6392,"Universitatea Tehnica de Constructii","Bd. Lacul Tei, Bucuresti",44.46346,26.123441
6524,"Maica Domnului","Bd. Lacul Tei, Bucuresti",44.46162,26.118266
6523,"Luigi Galvani","Bd. Lacul Tei, Bucuresti",44.459865,26.113659
6525,"Circul Bucuresti","Bd. Lacul Tei, Bucuresti",44.457789,26.108005
7490,"Rossini","Str. Barbu Vacarescu, Bucuresti",44.460701,26.107163
6451,"Ceaikovski","Str. Barbu Vacarescu, Bucuresti",44.463471,26.108053
7321,"Calea Floreasca","Str. Ceaikovski, Bucuresti",44.465855,26.10298
6879,"Sala Lucian Grigorescu","Str. Av.Radu Beller, Bucuresti",44.465199,26.095876
6878,"Piata Dorobanti","Str. Av.Radu Beller, Bucuresti",44.461306,26.094658
7358,"Pasaj Victoria","Bd. Iancu de Hunedoara, Bucuresti",44.452552,26.090732
6349,"Dr. Felix","Sos. N.Titulescu, Bucuresti",44.452237,26.081262
6921,"Bd. Banu Manta","Sos. N.Titulescu, Bucuresti",44.452764,26.074089
6817,"Soseaua Nicolae Titulescu","Calea Grivitei, Bucuresti",44.450027,26.069964
7069,"Gara de Nord","Piata Garii de Nord, Bucuresti",44.447148,26.075367
6613,"G-ral Alexandru Cernat","Bd. Alex.I.Cuza, Bucuresti",44.450637,26.076634
6644,"Petru Rares","Bd. Alex.I.Cuza, Bucuresti",44.45184,26.072969
6922,"Bd. Banu Manta","Sos. N.Titulescu, Bucuresti",44.452511,26.074543
6828,"Dr. Felix","Sos. N.Titulescu, Bucuresti",44.452033,26.08009
7362,"Pasaj Victoria","Bd. Iancu de Hunedoara, Bucuresti",44.452455,26.091921
6421,"Piata Dorobanti","Str. Av.Radu Beller, Bucuresti",44.461845,26.0949
6418,"Sala Lucian Grigorescu","Str. Av.Radu Beller, Bucuresti",44.464378,26.095723
6420,"Calea Floreasca","Bd. Mircea Eliade, Bucuresti",44.465911,26.101658
7290,"Garibaldi","Str. Ceaikovski, Bucuresti",44.465472,26.105822
6917,"Barbu Vacarescu","Str. Barbu Vacarescu, Bucuresti",44.464255,26.108043
6962,"Mihail Glinka","Str. Barbu Vacarescu, Bucuresti",44.462001,26.107356
7492,"Rossini","Str. Barbu Vacarescu, Bucuresti",44.4598,26.106676
6222,"Bd. Lacul Tei","Bd. Lacul Tei, Bucuresti",44.457136,26.106733
6503,"Circul Bucuresti","Bd. Lacul Tei, Bucuresti",44.45812,26.109285
6566,"Luigi Galvani","Bd. Lacul Tei, Bucuresti",44.459285,26.112282
6565,"Maica Domnului","Bd. Lacul Tei, Bucuresti",44.46196,26.119689
6393,"Universitatea Tehnica de Constructii","Bd. Lacul Tei, Bucuresti",44.463591,26.124075
5990,"Teiul Doamnei","Str. Teiul Doamnei, Bucuresti",44.463862,26.126049
5989,"Grigore Ionescu","Str. Teiul Doamnei, Bucuresti",44.459911,26.126883
6617,"Cartier Colentina","Sos. Fundeni, Bucuresti",44.46845,26.143873
6009,"Radovanu","Sos. Fundeni, Bucuresti",44.466576,26.147243
6640,"Itcani","Sos. Fundeni, Bucuresti",44.464797,26.150308
6638,"Spitalul Fundeni","Sos. Fundeni, Bucuresti",44.463321,26.15393
6636,"Institutul Oncologic","Sos. Fundeni, Bucuresti",44.462669,26.156183
6394,"Colegiul National Victor Babes","Sos. Fundeni, Bucuresti",44.462047,26.159021
6379,"Ghencea","Bd. Ghencea, Bucuresti",44.414802,26.045969
6242,"Drumul Cooperativei","Drumul Cooperativei, Bucuresti",44.413371,26.030592
6252,"Bascov","Drumul Cooperativei, Bucuresti",44.408669,26.025972
6704,"Arefului","Str. Arefului, Bucuresti",44.405494,26.022066
6707,"Dantelei","Str. Dantelei, Bucuresti",44.407332,26.017374
8845,"Dantelei 2","Str.. Dantelei, Ilfov",44.403228,26.013002
8846,"Dantelei 34","Str. Dantelei, Ilfov",44.400738,26.008499
8847,"Margelelor","Str. Dantelei, Ilfov",44.398607,26.004524
8848,"Parfumului (Bragadiru)","Str. Parfumului, Ilfov",44.398341,26.005358
8849,"Parfumului 27","Str. Parfumului, Ilfov",44.400016,26.008484
8850,"Gladiolelor","Str. Gladiolelor, Ilfov",44.402848,26.013721
6696,"Lavei","Str. Lavei, Bucuresti",44.405229,26.016087
6246,"Cimitirul Ghencea 3","Drumul Cooperativei, Bucuresti",44.403954,26.021544
6253,"Bascov","Drumul Cooperativei, Bucuresti",44.40982,26.027183
